sample_id,sentence_text,source_type,sentence_type,obligation_level,action_type,condition_type,hazard_candidate,equipment_candidate,work_type_candidate,control_category_candidate,control_type_candidate,control_name_candidate,legal_required_possible,confidence,review_note
S0001,"다만, 중대산업재해에 해당하는 재해는 제외한다.",law,scope_exclusion,exception,,,,,,,,,,low,
S0002,"""공중이용시설""이란 다음 각 목의 시설 중 시설의 규모나 면적 등을 고려하여 대통령령으로 정하는 시설을 말한다.",law,definition,informative,,,,,,,,,,low,
S0003,"다만, 「소상공인 보호 및 지원에 관한 법률」 제2조에 따른 소상공인의 사업 또는 사업장 및 이에 준하는 비영리시설과 「교육시설 등의 안전 및 유지관리 등에 관한 법률」 제2조제1호에 따른 교육시설은 제외한다.",law,scope_exclusion,exception,train,,,,,,,,,low,
S0004,「실내공기질 관리법」 제3조제1항의 시설(「다중이용업소의 안전관리에 관한 특별법」 제2조제1항제1호에 따른 영업장은 제외한다) 나.,law,scope_exclusion,exception,,,,,,,,,,low,
S0005,「시설물의 안전 및 유지관리에 관한 특별법」 제2조제1호의 시설물(공동주택은 제외한다) 다.,law,scope_exclusion,exception,maintain,,,,,,,,,low,
S0006,「다중이용업소의 안전관리에 관한 특별법」 제2조제1항제1호에 따른 영업장 중 해당 영업에 사용하는 바닥면적(「건축법」 제84조에 따라 산정한 면적을 말한다)의 합계가 1천제곱미터 이상인 것 라.,law,definition,informative,,,,,,,,,,low,
S0007,"""공중교통수단""이란 불특정다수인이 이용하는 다음 각 목의 어느 하나에 해당하는 시설을 말한다.",law,definition,informative,,,,,,,,,,low,
S0008,「철도산업발전기본법」 제3조제4호에 따른 철도차량 중 동력차ㆍ객차(「철도사업법」 제2조제5호에 따른 전용철도에 사용되는 경우는 제외한다) 다.,law,scope_exclusion,exception,,,,,,,,,,low,
S0009,"""제조물""이란 제조되거나 가공된 동산(다른 동산이나 부동산의 일부를 구성하는 경우를 포함한다)을 말한다.",law,definition,informative,,,,,,,,,,low,
S0010,"""경영책임자등""이란 다음 각 목의 어느 하나에 해당하는 자를 말한다.",law,definition,informative,,,,,,,,,,low,
S0011,이하 같다) 또는 경영책임자등에게는 이 장의 규정을 적용하지 아니한다.,law,scope_exclusion,exception,,,,,,,,,,low,
S0012,제4조(사업주와 경영책임자등의 안전 및 보건 확보의무) ① ① 사업주 또는 경영책임자등은 사업주나 법인 또는 기관이 실질적으로 지배ㆍ운영ㆍ관리하는 사업 또는 사업장에서 종사자의 안전ㆍ보건상 유해 또는 위험을 방지하기 위하여 그 사업 또는 사업장의 특성 및 규모 등을 고려하여 다음 각 호에 따른 조치를 하여야 한다.,law,requirement,mandatory,,,,,,,,,,low,
S0013,"제5조(도급, 용역, 위탁 등 관계에서의 안전 및 보건 확보의무) 사업주 또는 경영책임자등은 사업주나 법인 또는 기관이 제3자에게 도급, 용역, 위탁 등을 행한 경우에는 제3자의 종사자에게 중대산업재해가 발생하지 아니하도록 제4조의 조치를 하여야 한다.",law,requirement,mandatory,,,,,,document_control,ctrl_incident_report,재해·사고 보고,Y,medium,
S0014,"다만, 사업주나 법인 또는 기관이 그 시설, 장비, 장소 등에 대하여 실질적으로 지배ㆍ운영ㆍ관리하는 책임이 있는 경우에 한정한다.",law,scope_exclusion,exception,,,,,,,,,,low,
S0015,"다만, 법인 또는 기관이 그 위반행위를 방지하기 위하여 해당 업무에 관하여 상당한 주의와 감독을 게을리하지 아니한 경우에는 그러하지 아니하다.",law,scope_exclusion,exception,,,,,,,,,,low,
S0016,제8조(안전보건교육의 수강) ① ① 중대산업재해가 발생한 법인 또는 기관의 경영책임자등은 대통령령으로 정하는 바에 따라 안전보건교육을 이수하여야 한다.,law,education_rule,mandatory,train,,,,,document_control,ctrl_incident_report,재해·사고 보고,Y,medium,
S0017,② 제1항의 안전보건교육을 정당한 사유 없이 이행하지 아니한 경우에는 5천만원 이하의 과태료를 부과한다.,law,education_rule,mandatory,train,,,,,training_control,ctrl_safety_training_general,정기 안전보건교육,Y,medium,
S0018,"제9조(사업주와 경영책임자등의 안전 및 보건 확보의무) ① ① 사업주 또는 경영책임자등은 사업주나 법인 또는 기관이 실질적으로 지배ㆍ운영ㆍ관리하는 사업 또는 사업장에서 생산ㆍ제조ㆍ판매ㆍ유통 중인 원료나 제조물의 설계, 제조, 관리상의 결함으로 인한 그 이용자 또는 그 밖의 사람의 생명, 신체의 안전을 위하여 다음 각 호에 따른 조치를 하여야 한다.",law,requirement,mandatory,,,,,,,,,,low,
S0019,"안전ㆍ보건 관계 법령에 따른 의무이행에 필요한 관리상의 조치 ② ② 사업주 또는 경영책임자등은 사업주나 법인 또는 기관이 실질적으로 지배ㆍ운영ㆍ관리하는 공중이용시설 또는 공중교통수단의 설계, 설치, 관리상의 결함으로 인한 그 이용자 또는 그 밖의 사람의 생명, 신체의 안전을 위하여 다음 각 호에 따른 조치를 하여야 한다.",law,requirement,mandatory,install,,,,,,,,,low,
S0020,"안전ㆍ보건 관계 법령에 따른 의무이행에 필요한 관리상의 조치 ③ ③ 사업주 또는 경영책임자등은 사업주나 법인 또는 기관이 공중이용시설 또는 공중교통수단과 관련하여 제3자에게 도급, 용역, 위탁 등을 행한 경우에는 그 이용자 또는 그 밖의 사람의 생명, 신체의 안전을 위하여 제2항의 조치를 하여야 한다.",law,requirement,mandatory,,,,,,,,,,low,
S0021,"제12조(형 확정 사실의 통보) 법무부장관은 제6조, 제7조, 제10조 또는 제11조에 따른 범죄의 형이 확정되면 그 범죄사실을 관계 행정기관의 장에게 통보하여야 한다.",law,requirement,mandatory,,,,,,,,,,low,
S0022,"② 이 법 위반 여부에 관한 형사재판에서 법원은 검사, 피고인 또는 변호인의 신청이 있는 경우 특별한 사정이 없으면 해당 분야의 전문가를 전문심리위원으로 지정하여 소송절차에 참여하게 하여야 한다.",law,requirement,mandatory,inspect,,,,,,,,,low,
S0023,"다만, 법인 또는 기관이 해당 업무에 관하여 상당한 주의와 감독을 게을리하지 아니한 경우에는 그러하지 아니하다.",law,scope_exclusion,exception,,,,,,,,,,low,
S0024,② 법원은 제1항의 배상액을 정할 때에는 다음 각 호의 사항을 고려하여야 한다.,law,requirement,mandatory,,,,,,,,,,low,
S0025,[시행일 : 2021.1.26] 제16조 ① ① 정부는 중대재해를 예방하여 시민과 종사자의 안전과 건강을 확보하기 위하여 다음 각 호의 사항을 이행하여야 한다.,law,requirement,mandatory,,,,,,document_control,ctrl_incident_report,재해·사고 보고,Y,medium,
S0026,③ 정부는 제1항 및 제2항에 따른 중대재해 예방을 위한 조치 이행 등 상황 및 중대재해 예방사업 지원 현황을 반기별로 국회 소관 상임위원회에 보고하여야 한다.,law,document_rule,mandatory,report,,,,,document_control,ctrl_incident_report,재해·사고 보고,Y,medium,
S0027,"""사업주(事業主)""란 근로자를 고용하여 대통령령으로 정하는 건설업(이하 ""건설업""이라 한다)을 하는 자로서 관계 법령에 따라 면허ㆍ허가ㆍ등록 등을 받거나 한 자를 말한다.",law,definition,informative,,,,,,,,,,low,
S0028,"""원수급인(元受給人)""이란 발주자로부터 건설업의 공사를 도급받은 사업주를 말한다.",law,definition,informative,,,,,,,,,,low,
S0029,"""하수급인(下受給人)""이란 원수급인으로부터 건설업의 공사를 도급받은 사업주와 그로부터 건설업의 공사를 도급받은 사업주를 말한다.",law,definition,informative,,,,,,,,,,low,
S0030,"""퇴직공제(退職共濟)""란 사업주가 건설근로자를 피공제자로 하여 건설근로자공제회에 공제부금(共濟賦金)을 내고 그 피공제자가 건설업에서 퇴직하는 등의 경우에 건설근로자공제회가 퇴직공제금을 지급하는 것을 말한다.",law,definition,informative,provide,,,,,,,,,low,
S0031,"제3조(건설근로자 고용개선 기본계획의 수립ㆍ시행) ① ① 고용노동부장관은 건설근로자의 고용안정을 도모하고 직업능력의 개발ㆍ향상을 촉진하며 건설근로자의 복지증진을 지원하기 위하여 건설근로자 고용개선 기본계획(이하 ""기본계획""이라 한다)을 5년마다 수립ㆍ시행하여야 한다.",law,definition,informative,,,,,,,,,,low,
S0032,<개정 2010.6.4> ④ ④ 고용노동부장관이 제1항에 따라 기본계획을 수립한 때에는 지체 없이 국회 소관 상임위원회에 보고하여야 한다.,law,document_rule,mandatory,report,,,,,,,,,low,
S0033,제5조(고용관리 책임자) ① ① 사업주는 다음 각 호에 관한 해당 사업장의 업무 처리를 위하여 사업장별로 고용관리 책임자를 지정하고 이를 고용노동부장관에게 신고하여야 한다.,law,document_rule,mandatory,report,,,,,,,,,low,
S0034,"다만, 대통령령으로 정하는 일정 규모 이하의 사업장의 경우 그러하지 아니하다.",law,scope_exclusion,exception,,,,,,,,,,low,
S0035,<개정 2011.7.25> ④ ④ 사업주는 고용관리 책임자에게 교육ㆍ연수를 시키는 등 그의 업무수행능력을 향상시키기 위하여 노력하여야 한다.,law,requirement,mandatory,train,,,,,,,,,low,
