sample_id,source_type,sentence_type,sentence_text,current_control_code,current_control_name,current_category,current_confidence,reviewer_decision,reviewer_control_code,reviewer_note
S0013,law,requirement,"제5조(도급, 용역, 위탁 등 관계에서의 안전 및 보건 확보의무) 사업주 또는 경영책임자등은 사업주나 법인 또는 기관이 제3자에게 도급, 용역, 위탁 등을 행한 경우에는 제3자의 종사자에게 중대산업재해가 발생하지 아니하도록 제4조의 조치를 하여야 한다.",ctrl_incident_report,재해·사고 보고,document_control,medium,,,
S0016,law,education_rule,제8조(안전보건교육의 수강) ① ① 중대산업재해가 발생한 법인 또는 기관의 경영책임자등은 대통령령으로 정하는 바에 따라 안전보건교육을 이수하여야 한다.,ctrl_incident_report,재해·사고 보고,document_control,medium,,,
S0017,law,education_rule,② 제1항의 안전보건교육을 정당한 사유 없이 이행하지 아니한 경우에는 5천만원 이하의 과태료를 부과한다.,ctrl_safety_training_general,정기 안전보건교육,training_control,medium,,,
S0025,law,requirement,[시행일 : 2021.1.26] 제16조 ① ① 정부는 중대재해를 예방하여 시민과 종사자의 안전과 건강을 확보하기 위하여 다음 각 호의 사항을 이행하여야 한다.,ctrl_incident_report,재해·사고 보고,document_control,medium,,,
S0026,law,document_rule,③ 정부는 제1항 및 제2항에 따른 중대재해 예방을 위한 조치 이행 등 상황 및 중대재해 예방사업 지원 현황을 반기별로 국회 소관 상임위원회에 보고하여야 한다.,ctrl_incident_report,재해·사고 보고,document_control,medium,,,
S0043,law,requirement,이 경우 임금비용은 매월 지급하여야 한다.,ctrl_periodic_inspection,정기 점검,inspection_control,medium,,,
S0067,law,requirement,법무부장관에게 피공제자의 「출입국관리법」에 따른 출입국관리기록 및 외국인등록 관련자료 ② ② 제1항에 따른 자료제공등을 요청할 때에는 다음 각 호의 사항을 적은 문서로 요청하여야 한다.,ctrl_record_retention,점검·교육 기록 보존,document_control,medium,,,
S0090,law,emergency_rule,"「건축법」 제49조제1항 및 제2항에 따른 피난시설, 방화구획(防火區劃) 2.",ctrl_emergency_evacuation,비상 대피체계 수립,emergency_control,medium,,,
S0092,law,condition_trigger,그 밖에 소방자동차의 접근이 가능한 통로의 설치 등 대통령령으로 정하는 사항 ⑥ ⑥ 제1항에 따라 사용승인에 대한 동의를 할 때에는 「소방시설공사업법」 제14조제3항에 따른 소방시설공사의 완공검사증명서를 발급하는 것으로 동의를 갈음할 수 있다.,ctrl_housekeeping_cleanup,정리·정돈·청소,housekeeping_control,medium,,,
S0137,admrul,requirement,제7조(사용기준) ① 도급인과 자기공사자는 산업안전보건관리비를 산업재해예방 목적으로 다음 각 호의 기준에 따라 사용하여야 한다.,ctrl_incident_report,재해·사고 보고,document_control,medium,,,
S0139,admrul,ppe_rule,"산업재해 예방을 위한 안전난간, 추락방호망, 안전대 부착설비, 방호장치(기계ㆍ기구와 방호장치가 일체로 제작된 경우, 방호장치 부분의 가액에 한함) 등 안전시설의 구입ㆍ임대 및 설치 등을 위해 소요되는 비용",ctrl_incident_report,재해·사고 보고,document_control,medium,,,
S0141,admrul,education_rule,가목 이외 산업재해 예방이 주된 목적인 교육을 실시하기 위해 소요되는 비용,ctrl_incident_report,재해·사고 보고,document_control,medium,,,
S0142,admrul,education_rule,「응급의료에 관한 법률」 제14조제1항제5호에 따른 안전보건교육 대상자 등에게 구조 및 응급처치에 관한 교육을 실시하기 위해 소요되는 비용,ctrl_safety_training_general,정기 안전보건교육,training_control,high,,,
S0151,admrul,inspection_rule,제9조(사용내역의 확인) ① 도급인은 산업안전보건관리비 사용내역에 대하여 공사 시작 후 6개월마다 1회 이상 발주자 또는 감리자의 확인을 받아야 한다.,ctrl_periodic_inspection,정기 점검,inspection_control,medium,,,
S0164,admrul,requirement,"사업주는 사업장 내에서 법 제2조제2호의 중대재해가 발생한 때에는 지체 없이 중대재해의 원인이 되는 유해ㆍ위험요인에 대해 제15조제2항의 위험성평가를 실시하고, 그 밖의 사업장 내 유해ㆍ위험요인에 대해서는 제15조제3항의 위험성평가 재검토를 실시하여야 한다.",ctrl_incident_report,재해·사고 보고,document_control,medium,,,
S0167,admrul,education_rule,사업주는 제1항에서 정하고 있는 자에 대해 위험성평가를 실시하기 위해 필요한 교육을 실시하여야 한다.,ctrl_safety_training_general,정기 안전보건교육,training_control,medium,,,
S0168,admrul,education_rule,"이 경우 위험성평가에 대해 외부에서 교육을 받았거나, 관련학문을 전공하여 관련 지식이 풍부한 경우에는 필요한 부분만 교육을 실시하거나 교육을 생략할 수 있다.",ctrl_safety_training_general,정기 안전보건교육,training_control,medium,,,
S0181,licbyl,education_rule,항목별 실행계획 항목 금액 비율 (%) 안전·보건관리자 임금 등 % 안전시설비 등 % 보호구 등 % 안전보건진단비 등 % 안전보건교육비 등 % 근로자 건강장해예방비 등 % 건설재해예방전문지도기관 기술지도비 % 본사 전담조직 근로자 임금 등 % 위험성평가 등에 따른 소요비용 % 총계 100% 210㎜×297㎜[일반용지 60g/㎡(재활용품)] (뒤쪽) 3.,ctrl_safety_training_general,정기 안전보건교육,training_control,medium,,,
S0182,licbyl,education_rule,세부 사용계획 항목 세부항목 단위 수 량 금액 산출 명세 사용시기 안전·보건관리자 임금 등 안전시설비 등 보호구 등 안전보건진단비 등 안전보건교육비 등 근로자 건강장해예방비 등 건설재해예방전문지도기관 기술지도비 본사 전담조직 근로자 임금 등 위험성평가 등에 따른 소요비용,ctrl_safety_training_general,정기 안전보건교육,training_control,medium,,,
S0189,licbyl,inspection_rule,> 변경신청서(법인 등 신청용) [ ] 안전관리전문기관 [ ] [ ] 건설재해예방전문지도기관 [ ] 자율안전검사 기관 [ ] 안전 [ ] 안전검사기관 [ ] 특수건강진단기관 [ ] 작업환경측정기관 (위탁/자체) [ ] 종합진단기관 [ ] 안전진단기관(일반안전 ㆍ 건설안전진단기관) [ ] 안전보건진단기관 [ ] 석면조사기관 ※ [ ]에는 해당되는 곳에 √ 표시를 합니다.,ctrl_working_environment_measurement,작업환경측정,inspection_control,medium,,,
S0193,licbyl,inspection_rule,"근로자 건강진단, 작업환경측정의 실시 및 조치절차 등에 관한 사항 나.",ctrl_working_environment_measurement,작업환경측정,inspection_control,medium,,,
S0196,licbyl,inspection_rule,> 지정신청서(법인 등 신청용) [ ] 안전관리전문기관 [ ] [ ] 건설재해예방전문지도기관 [ ] 자율안전검 사기관 [ ] 안전 [ ] 안전검사기관 [ ] 특수건강진단기관 [ ] 작업환경측정기관 (위탁/자체) [ ] 종합진단기관 [ ] 안전진단기관 [ ] 안전보건진단기관 [ ] 석면조사기관 ※ [ ]에는 해당되는 곳에 √ 표시를 합니다.,ctrl_working_environment_measurement,작업환경측정,inspection_control,medium,,,
S0197,licbyl,inspection_rule,최초 1년간의 사업계획서(건설재해예방전문지도기관 및 석면조사기관은 제외하며 사업장 자체 측정기관의 경우에는 측정대상 사업장의 명단 및 최종 작업환경측정 결과서 사본) 6.,ctrl_working_environment_measurement,작업환경측정,inspection_control,medium,,,
S0221,kosha,ppe_rule,"유해물질취급시에는방독마스크, 보안경, 안전장갑등개인보호구를착용하고작업을해야합니다.",ctrl_ppe_wear,보호구 착용,ppe_control,high,,,
S0224,kosha,equipment_rule,화학물질취급장소에국소배기장치가설치되어있는가?,ctrl_local_ventilation_install,국소배기장치 설치·운전,engineering_control,medium,,,
S0225,kosha,document_rule,유해화학물질사용시물질안전보건자료(MSDS)를눈에띄는곳에비치하고교육을,ctrl_msds_posting,MSDS·경고표지 게시,document_control,high,,,
S0241,kosha,ppe_rule,보안경을 착용하지 않은 상태에서 작업 중 칩이 작업자의 눈으로 튐,ctrl_ppe_wear,보호구 착용,ppe_control,medium,,,
