normalized_sentence_id,source_sentence_id,source_type,document_id,document_title,raw_sentence_text,normalized_sentence_text,normalization_status,split_group_id,split_order,was_split,split_confidence,normalization_type,sentence_role,obligation_level_candidate,subject_candidate,subject_candidate_direct,subject_candidate_inherited,subject_candidate_confidence,inherited_subject_from,object_candidate,object_candidate_direct,object_candidate_inherited,object_candidate_confidence,action_candidate,condition_candidate,hazard_candidate,equipment_candidate,control_candidate,evidence_candidate,noise_flag,noise_recovery_candidate,ambiguity_flag,context_required_flag,duplicate_flag,duplicate_type,canonical_candidate,duplicate_of,duplicate_group_id,quality_issue_codes,confidence,normalization_note,reviewer_note
S0001-01,S0001,law,14440,중대재해 처벌 등에 관한 법률 제2조 (정의),"다만, 중대산업재해에 해당하는 재해는 제외한다.","다만, 중대산업재해에 해당하는 재해는 제외한다.",auto,S0001,1,0,high,no_change,exception,exception,,,,unresolved,,,,,unresolved,,,,,ctrl_incident_report,,0,0,0,0,0,,1,,,Q02,medium,,
S0002-01,S0002,law,14440,중대재해 처벌 등에 관한 법률 제2조 (정의),"""공중이용시설""이란 다음 각 목의 시설 중 시설의 규모나 면적 등을 고려하여 대통령령으로 정하는 시설을 말한다.","""공중이용시설""이란 다음 각 목의 시설 중 시설의 규모나 면적 등을 고려하여 대통령령으로 정하는 시설을 말한다.",auto,S0002,1,0,high,no_change,explanation,informative,,,,unresolved,,,,,unresolved,,,,,,,0,0,0,0,0,,1,,,Q02,medium,,
S0003-01,S0003,law,14440,중대재해 처벌 등에 관한 법률 제2조 (정의),"다만, 「소상공인 보호 및 지원에 관한 법률」 제2조에 따른 소상공인의 사업 또는 사업장 및 이에 준하는 비영리시설과 「교육시설 등의 안전 및 유지관리 등에 관한 법률」 제2조제1호에 따른 교육시설은 제외한다.","다만, 「소상공인 보호 및 지원에 관한 법률」 제2조에 따른 소상공인의 사업 또는 사업장 및 이에 준하는 비영리시설과 「교육시설 등의 안전 및 유지관리 등에 관한 법률」 제2조제1호에 따른 교육시설은 제외한다.",auto,S0003,1,0,high,no_change,exception,exception,,,,unresolved,,,,,unresolved,train,,,,,,0,0,0,0,0,,1,,,"Q02,Q03",medium,,
S0004-01,S0004,law,14440,중대재해 처벌 등에 관한 법률 제2조 (정의),「실내공기질 관리법」 제3조제1항의 시설(「다중이용업소의 안전관리에 관한 특별법」 제2조제1항제1호에 따른 영업장은 제외한다) 나.,「실내공기질 관리법」 제3조제1항의 시설(「다중이용업소의 안전관리에 관한 특별법」 제2조제1항제1호에 따른 영업장은 제외한다) 나.,auto,S0004,1,0,high,no_change,exception,exception,,,,unresolved,,,,,unresolved,,,,,,,0,0,0,0,0,,1,,,Q02,medium,,
S0005-01,S0005,law,14440,중대재해 처벌 등에 관한 법률 제2조 (정의),「시설물의 안전 및 유지관리에 관한 특별법」 제2조제1호의 시설물(공동주택은 제외한다) 다.,「시설물의 안전 및 유지관리에 관한 특별법」 제2조제1호의 시설물(공동주택은 제외한다) 다.,auto,S0005,1,0,high,no_change,exception,exception,,,,unresolved,,,,,unresolved,maintain,,,,,,0,0,0,0,0,,1,,,Q02,medium,,
S0006-01,S0006,law,14440,중대재해 처벌 등에 관한 법률 제2조 (정의),「다중이용업소의 안전관리에 관한 특별법」 제2조제1항제1호에 따른 영업장 중 해당 영업에 사용하는 바닥면적(「건축법」 제84조에 따라 산정한 면적을 말한다)의 합계가 1천제곱미터 이상인 것 라.,「다중이용업소의 안전관리에 관한 특별법」 제2조제1항제1호에 따른 영업장 중 해당 영업에 사용하는 바닥면적(「건축법」 제84조에 따라 산정한 면적을 말한다)의 합계가 1천제곱미터 이상인 것 라.,auto,S0006,1,0,high,evidence_isolate,evidence,informative,,,,unresolved,,,,,unresolved,,,,,,제84조에 따라,0,0,0,1,0,,1,,,"Q08,Q02",medium,evidence_only,
S0007-01,S0007,law,14440,중대재해 처벌 등에 관한 법률 제2조 (정의),"""공중교통수단""이란 불특정다수인이 이용하는 다음 각 목의 어느 하나에 해당하는 시설을 말한다.","""공중교통수단""이란 불특정다수인이 이용하는 다음 각 목의 어느 하나에 해당하는 시설을 말한다.",auto,S0007,1,0,high,no_change,explanation,informative,,,,unresolved,,,,,unresolved,,,,,,,0,0,0,0,0,,1,,,Q02,medium,,
S0008-01,S0008,law,14440,중대재해 처벌 등에 관한 법률 제2조 (정의),「철도산업발전기본법」 제3조제4호에 따른 철도차량 중 동력차ㆍ객차(「철도사업법」 제2조제5호에 따른 전용철도에 사용되는 경우는 제외한다) 다.,「철도산업발전기본법」 제3조제4호에 따른 철도차량 중 동력차ㆍ객차(「철도사업법」 제2조제5호에 따른 전용철도에 사용되는 경우는 제외한다) 다.,auto,S0008,1,0,high,no_change,exception,exception,,,,unresolved,,,,,unresolved,,electrical_work,,,,,0,0,0,0,0,,1,,,Q02,medium,,
S0009-01,S0009,law,14440,중대재해 처벌 등에 관한 법률 제2조 (정의),"""제조물""이란 제조되거나 가공된 동산(다른 동산이나 부동산의 일부를 구성하는 경우를 포함한다)을 말한다.","""제조물""이란 제조되거나 가공된 동산(다른 동산이나 부동산의 일부를 구성하는 경우를 포함한다)을 말한다.",auto,S0009,1,0,high,no_change,explanation,informative,,,,unresolved,,,,,unresolved,,,,,,,0,0,0,0,0,,1,,,Q02,medium,,
S0010-01,S0010,law,14440,중대재해 처벌 등에 관한 법률 제2조 (정의),"""경영책임자등""이란 다음 각 목의 어느 하나에 해당하는 자를 말한다.","""경영책임자등""이란 다음 각 목의 어느 하나에 해당하는 자를 말한다.",auto,S0010,1,0,high,no_change,explanation,informative,,,,unresolved,,,,,unresolved,,,,,,,0,0,0,0,0,,1,,,Q02,medium,,
S0011-01,S0011,law,14442,중대재해 처벌 등에 관한 법률 제3조 (적용범위),이하 같다) 또는 경영책임자등에게는 이 장의 규정을 적용하지 아니한다.,이하 같다) 또는 경영책임자등에게는 이 장의 규정을 적용하지 아니한다.,auto,S0011,1,0,high,no_change,exception,exception,employer,employer,,direct_high,,,,,unresolved,,,,,,,0,0,0,0,0,,1,,,,medium,,
S0012-01,S0012,law,14443,중대재해 처벌 등에 관한 법률 제4조 (사업주와 경영책임자등의 안전 및 보건 확보의무),제4조(사업주와 경영책임자등의 안전 및 보건 확보의무) ① ① 사업주 또는 경영책임자등은 사업주나 법인 또는 기관이 실질적으로 지배ㆍ운영ㆍ관리하는 사업 또는 사업장에서 종사자의 안전ㆍ보건상 유해 또는 위험을 방지하기 위하여 그 사업 또는 사업장의 특성 및 규모 등을 고려하여 다음 각 호에 따른 조치를 하여야 한다.,① 사업주 또는 경영책임자등은 사업주나 법인 또는 기관이 실질적으로 지배ㆍ운영ㆍ관리하는 사업 또는 사업장에서 종사자의 안전ㆍ보건상 유해 또는 위험을 방지하기 위하여 그 사업 또는 사업장의 특성 및 규모 등을 고려하여 다음 각 호에 따른 조치를 하여야 한다.,auto,S0012,1,0,high,header_strip,rule_core,mandatory,employer,employer,,direct_high,,,,,unresolved,,,,,,제4조(사업주와 경영책임자등의 안전 및 보건 확보의무),0,0,0,0,0,,1,,,,medium,,
S0013-01,S0013,law,14444,"중대재해 처벌 등에 관한 법률 제5조 (도급, 용역, 위탁 등 관계에서의 안전 및 보건 확보의무)","제5조(도급, 용역, 위탁 등 관계에서의 안전 및 보건 확보의무) 사업주 또는 경영책임자등은 사업주나 법인 또는 기관이 제3자에게 도급, 용역, 위탁 등을 행한 경우에는 제3자의 종사자에게 중대산업재해가 발생하지 아니하도록 제4조의 조치를 하여야 한다.","사업주 또는 경영책임자등은 사업주나 법인 또는 기관이 제3자에게 도급, 용역, 위탁 등을 행한 경우에는 제3자의 종사자에게 중대산업재해가 발생하지 아니하도록 제4조의 조치를 하여야 한다.",auto,S0013,1,0,high,header_strip,rule_core,mandatory,employer,employer,,direct_high,,,,,unresolved,,,,,ctrl_incident_report,"제5조(도급, 용역, 위탁 등 관계에서의 안전 및 보건 확보의무)",0,0,0,0,0,,1,,,,medium,,
S0014-01,S0014,law,14444,"중대재해 처벌 등에 관한 법률 제5조 (도급, 용역, 위탁 등 관계에서의 안전 및 보건 확보의무)","다만, 사업주나 법인 또는 기관이 그 시설, 장비, 장소 등에 대하여 실질적으로 지배ㆍ운영ㆍ관리하는 책임이 있는 경우에 한정한다.","다만, 사업주나 법인 또는 기관이 그 시설, 장비, 장소 등에 대하여 실질적으로 지배ㆍ운영ㆍ관리하는 책임이 있는 경우에 한정한다.",auto,S0014,1,0,high,no_change,exception,exception,,,,unresolved,,,,,unresolved,,,,,,,0,0,0,0,0,,1,,,Q02,medium,,
S0015-01,S0015,law,14446,중대재해 처벌 등에 관한 법률 제7조 (중대산업재해의 양벌규정),"다만, 법인 또는 기관이 그 위반행위를 방지하기 위하여 해당 업무에 관하여 상당한 주의와 감독을 게을리하지 아니한 경우에는 그러하지 아니하다.","다만, 법인 또는 기관이 그 위반행위를 방지하기 위하여 해당 업무에 관하여 상당한 주의와 감독을 게을리하지 아니한 경우에는 그러하지 아니하다.",auto_flagged,S0015,1,0,high,no_change,exception,exception,,,,unresolved,,,,,unresolved,,,,,,,0,0,0,1,0,,1,,,"Q12,Q02",low,,
S0016-01,S0016,law,14447,중대재해 처벌 등에 관한 법률 제8조 (안전보건교육의 수강),제8조(안전보건교육의 수강) ① ① 중대산업재해가 발생한 법인 또는 기관의 경영책임자등은 대통령령으로 정하는 바에 따라 안전보건교육을 이수하여야 한다.,① 중대산업재해가 발생한 법인 또는 기관의 경영책임자등은 대통령령으로 정하는 바에 따라 안전보건교육을 이수하여야 한다.,auto,S0016,1,0,high,"header_strip,object_infer",rule_core,mandatory,employer,employer,,direct_high,,특별안전보건교육,특별안전보건교육,,direct,train,,,,ctrl_safety_training_general,제8조(안전보건교육의 수강),0,0,0,0,0,,1,,,,high,,
S0017-01,S0017,law,14447,중대재해 처벌 등에 관한 법률 제8조 (안전보건교육의 수강),② 제1항의 안전보건교육을 정당한 사유 없이 이행하지 아니한 경우에는 5천만원 이하의 과태료를 부과한다.,제1항의 안전보건교육을 정당한 사유 없이 이행하지 아니한 경우에는 5천만원 이하의 과태료를 부과한다.,auto,S0017,1,0,high,"header_strip,object_infer,subject_inherit_prev",rule_core,informative,employer,,employer,inherited_prev,prev:S0016-01,특별안전보건교육,특별안전보건교육,,direct,train,,,,ctrl_safety_training_general,,0,0,0,0,0,,1,,,,medium,,
S0018-01,S0018,law,14449,중대재해 처벌 등에 관한 법률 제9조 (사업주와 경영책임자등의 안전 및 보건 확보의무),"제9조(사업주와 경영책임자등의 안전 및 보건 확보의무) ① ① 사업주 또는 경영책임자등은 사업주나 법인 또는 기관이 실질적으로 지배ㆍ운영ㆍ관리하는 사업 또는 사업장에서 생산ㆍ제조ㆍ판매ㆍ유통 중인 원료나 제조물의 설계, 제조, 관리상의 결함으로 인한 그 이용자 또는 그 밖의 사람의 생명, 신체의 안전을 위하여 다음 각 호에 따른 조치를 하여야 한다.","① 사업주 또는 경영책임자등은 사업주나 법인 또는 기관이 실질적으로 지배ㆍ운영ㆍ관리하는 사업 또는 사업장에서 생산ㆍ제조ㆍ판매ㆍ유통 중인 원료나 제조물의 설계, 제조, 관리상의 결함으로 인한 그 이용자 또는 그 밖의 사람의 생명, 신체의 안전을 위하여 다음 각 호에 따른 조치를 하여야 한다.",auto,S0018,1,0,high,header_strip,rule_core,mandatory,employer,employer,,direct_high,,,,,unresolved,,,,,,제9조(사업주와 경영책임자등의 안전 및 보건 확보의무),0,0,0,0,0,,1,,,,medium,,
S0019-01,S0019,law,14449,중대재해 처벌 등에 관한 법률 제9조 (사업주와 경영책임자등의 안전 및 보건 확보의무),"안전ㆍ보건 관계 법령에 따른 의무이행에 필요한 관리상의 조치 ② ② 사업주 또는 경영책임자등은 사업주나 법인 또는 기관이 실질적으로 지배ㆍ운영ㆍ관리하는 공중이용시설 또는 공중교통수단의 설계, 설치, 관리상의 결함으로 인한 그 이용자 또는 그 밖의 사람의 생명, 신체의 안전을 위하여 다음 각 호에 따른 조치를 하여야 한다.","안전ㆍ보건 관계 법령에 따른 의무이행에 필요한 관리상의 조치 ② ② 사업주 또는 경영책임자등은 사업주나 법인 또는 기관이 실질적으로 지배ㆍ운영ㆍ관리하는 공중이용시설 또는 공중교통수단의 설계, 설치, 관리상의 결함으로 인한 그 이용자 또는 그 밖의 사람의 생명, 신체의 안전을 위하여 다음 각 호에 따른 조치를 하여야 한다.",auto,S0019,1,0,high,no_change,rule_core,mandatory,employer,employer,,direct_high,,,,,unresolved,install,,,,,,0,0,0,0,0,,1,,,Q03,medium,,
S0020-01,S0020,law,14449,중대재해 처벌 등에 관한 법률 제9조 (사업주와 경영책임자등의 안전 및 보건 확보의무),"안전ㆍ보건 관계 법령에 따른 의무이행에 필요한 관리상의 조치 ③ ③ 사업주 또는 경영책임자등은 사업주나 법인 또는 기관이 공중이용시설 또는 공중교통수단과 관련하여 제3자에게 도급, 용역, 위탁 등을 행한 경우에는 그 이용자 또는 그 밖의 사람의 생명, 신체의 안전을 위하여 제2항의 조치를 하여야 한다.","안전ㆍ보건 관계 법령에 따른 의무이행에 필요한 관리상의 조치 ③ ③ 사업주 또는 경영책임자등은 사업주나 법인 또는 기관이 공중이용시설 또는 공중교통수단과 관련하여 제3자에게 도급, 용역, 위탁 등을 행한 경우에는 그 이용자 또는 그 밖의 사람의 생명, 신체의 안전을 위하여 제2항의 조치를 하여야 한다.",auto,S0020,1,0,high,no_change,rule_core,mandatory,employer,employer,,direct_high,,,,,unresolved,,,,,,,0,0,0,0,0,,1,,,,medium,,
S0021-01,S0021,law,14453,중대재해 처벌 등에 관한 법률 제12조 (형 확정 사실의 통보),"제12조(형 확정 사실의 통보) 법무부장관은 제6조, 제7조, 제10조 또는 제11조에 따른 범죄의 형이 확정되면 그 범죄사실을 관계 행정기관의 장에게 통보하여야 한다.","법무부장관은 제6조, 제7조, 제10조 또는 제11조에 따른 범죄의 형이 확정되면 그 범죄사실을 관계 행정기관의 장에게 통보하여야 한다.",auto,S0021,1,0,high,header_strip,rule_core,mandatory,authority,authority,,direct_high,,,,,unresolved,,,,,,제12조(형 확정 사실의 통보),0,0,0,0,0,,1,,,,medium,,
S0022-01,S0022,law,14455,중대재해 처벌 등에 관한 법률 제14조 (심리절차에 관한 특례),"② 이 법 위반 여부에 관한 형사재판에서 법원은 검사, 피고인 또는 변호인의 신청이 있는 경우 특별한 사정이 없으면 해당 분야의 전문가를 전문심리위원으로 지정하여 소송절차에 참여하게 하여야 한다.","이 법 위반 여부에 관한 형사재판에서 법원은 검사, 피고인 또는 변호인의 신청이 있는 경우 특별한 사정이 없으면 해당 분야의 전문가를 전문심리위원으로지정하여야 한다.",auto_flagged,S0022,1,1,medium,"header_strip,split_action",rule_core,mandatory,judicial,judicial,,direct_high,,,,,unresolved,inspect,,,,,,0,0,0,1,0,,1,,,"Q01,Q12,Q03",low,,
S0022-02,S0022,law,14455,중대재해 처벌 등에 관한 법률 제14조 (심리절차에 관한 특례),"② 이 법 위반 여부에 관한 형사재판에서 법원은 검사, 피고인 또는 변호인의 신청이 있는 경우 특별한 사정이 없으면 해당 분야의 전문가를 전문심리위원으로 지정하여 소송절차에 참여하게 하여야 한다.",이 소송절차에 참여하게 하여야 한다.,auto,S0022,2,1,medium,"header_strip,split_action,subject_inherit_split",rule_core,mandatory,judicial,,judicial,inherited_split,split_group:order=1,,,,unresolved,,,,,,,0,0,0,0,0,,1,,,Q01,medium,,
S0023-01,S0023,law,14456,중대재해 처벌 등에 관한 법률 제15조 (손해배상의 책임),"다만, 법인 또는 기관이 해당 업무에 관하여 상당한 주의와 감독을 게을리하지 아니한 경우에는 그러하지 아니하다.","다만, 법인 또는 기관이 해당 업무에 관하여 상당한 주의와 감독을 게을리하지 아니한 경우에는 그러하지 아니하다.",auto_flagged,S0023,1,0,high,no_change,exception,exception,,,,unresolved,,,,,unresolved,,,,,,,0,0,0,1,0,,1,,,"Q12,Q02",low,,
S0024-01,S0024,law,14456,중대재해 처벌 등에 관한 법률 제15조 (손해배상의 책임),② 법원은 제1항의 배상액을 정할 때에는 다음 각 호의 사항을 고려하여야 한다.,법원은 제1항의 배상액을 정할 때에는 다음 각 호의 사항을 고려하여야 한다.,auto,S0024,1,0,high,header_strip,rule_core,mandatory,judicial,judicial,,direct_high,,,,,unresolved,,,,,,,0,0,0,0,0,,1,,,,medium,,
