control_code,control_name_ko,control_name_en,control_category,control_type,description,typical_keywords,typical_verbs,related_sentence_types,related_hazard_codes,related_equipment_codes,related_work_type_codes,legal_required_possible,review_status,note
ctrl_fall_protection_install,추락방지설비 설치,fall_protection_install,engineering_control,fall_protection_install,작업발판·안전난간·개구부 덮개 등 추락방지 설비를 설치하고 상태를 확인한다,안전난간|안전난간대|작업발판|개구부 덮개|방호선|추락방지망,설치|부착|고정,"equipment_rule,requirement",추락,"비계,고소작업","고소작업,비계_조립,비계_해체",Y,draft,산안규칙 제43조·42조 연계
ctrl_local_ventilation_install,국소배기장치 설치·운전,local_ventilation_install,engineering_control,local_ventilation_install,국소배기장치를 설치·운전하고 성능을 확인한다,국소배기장치|국소배기|배기설비|환기장치,설치|운전|가동,"equipment_rule,requirement",소음진동,,"용접,도장",Y,draft,산안규칙 제72조·제74조
ctrl_guard_installation,방호장치 설치,guard_installation,engineering_control,guard_installation,회전·절단부에 방호장치를 설치하고 탈착 여부를 점검한다,방호장치|가드|안전덮개|인터록|과부하방지장치,설치|부착,"equipment_rule,requirement","끼임,협착,절단",기계정비,기계정비,Y,draft,
ctrl_lockout_tagout,기동장치 잠금·표지(LOTO),lockout_tagout,engineering_control,lockout_tagout,정비·청소 시 기동장치를 잠그고 LOTO 표지를 부착한다,기동장치|잠금|LOTO|전원차단,잠그고|차단|부착,"equipment_rule,requirement","감전,끼임",,기계정비,Y,draft,
ctrl_electrical_isolation,충전전로 정전·접지,electrical_isolation,engineering_control,electrical_isolation,정전 후 검전기로 확인하고 접지한 뒤 작업한다,충전전로|정전|접지|검전기|활선,정전|접지|차단,"equipment_rule,requirement",감전,,,Y,draft,
ctrl_confined_space_ventilation,밀폐공간 환기·산소 공급,confined_space_ventilation,engineering_control,confined_space_ventilation,밀폐공간 작업 전·중 환기를 실시하고 산소농도를 유지한다,밀폐공간|산소농도|환기,환기|공급,"equipment_rule,requirement",질식,,밀폐공간,Y,draft,
ctrl_drop_prevention,자재 낙하 방지,drop_prevention,engineering_control,drop_prevention,자재 낙하 방지망·방호선반·결속구를 설치한다,낙하방지|낙하물 방지망|방호선반|결속,설치|결속,equipment_rule,비래낙하,"양중,비계",양중,Y,draft,
ctrl_ppe_wear,보호구 착용,ppe_wear,ppe_control,ppe_wear,해당 작업에 적합한 보호구(안전모·안전대·보안경 등)를 착용한다,보호구|안전모|안전대|안전화|방진마스크|호흡보호구|내화학장갑|보안경|보호복|귀마개,착용,"ppe_rule,requirement",,,,Y,draft,
ctrl_ppe_provision,보호구 지급·관리,ppe_provision,ppe_control,ppe_provision,작업에 적합한 보호구를 근로자에게 지급하고 교체 주기를 관리한다,보호구 지급|보호구 비치,지급|비치|교체,"ppe_rule,document_rule",,,,Y,draft,
ctrl_special_training,특별안전보건교육 실시,special_training,training_control,special_training,해당 작업 근로자에게 특별안전보건교육을 실시한다,특별교육|특별안전교육|특별안전보건교육,실시|이수,education_rule,,,,Y,draft,
ctrl_pre_work_briefing,작업 전 안전교육(TBM),pre_work_briefing,training_control,pre_work_briefing,작업 전 위험요인·작업순서·보호구를 주지(TBM)한다,작업 전 교육|TBM|툴박스미팅|조회|일일안전,실시|주지|숙지,"education_rule,procedure",,,,N,draft,법적 의무는 아니나 현장 표준
ctrl_safety_training_general,정기 안전보건교육,safety_training_general,training_control,safety_training_general,법정 안전보건교육을 분기/반기별로 실시한다,안전보건교육|안전교육|정기교육,실시|이수,education_rule,,,,Y,draft,
ctrl_periodic_inspection,정기 점검,periodic_inspection,inspection_control,periodic_inspection,설비의 방호장치·과부하장치 등을 정기적으로 점검한다,정기점검|자체점검|매일 점검|매월|6개월마다|연 1회,점검|검사|확인,"inspection_rule,requirement",,,,Y,draft,
ctrl_pre_work_inspection,작업 전 점검,pre_work_inspection,inspection_control,pre_work_inspection,작업 전 설비 및 작업환경 이상 유무를 점검한다,작업 전 점검|시업 전 점검|작업 시작 전,점검|확인,"inspection_rule,procedure",,,,Y,draft,
ctrl_atmospheric_measurement,가스·산소 농도 측정,atmospheric_measurement,inspection_control,atmospheric_measurement,밀폐공간 작업 전 산소·유해가스 농도를 측정한다,산소농도|유해가스|가스농도|농도 측정,측정|확인,inspection_rule,질식,,밀폐공간,Y,draft,
