control_code,control_name_ko,control_name_en,control_category,control_type,description,typical_keywords,typical_verbs,related_sentence_types,related_hazard_codes,related_equipment_codes,related_work_type_codes,legal_required_possible,review_status,note
ctrl_fall_protection_install,추락방지설비 설치,fall_protection_install,engineering_control,fall_protection_install,작업발판·안전난간·개구부 덮개 등 추락방지 설비를 설치하고 상태를 확인한다,안전난간|안전난간대|작업발판|개구부 덮개|방호선|추락방지망|안전방망|추락방호망,설치|부착|고정,"equipment_rule,requirement",추락,"EQ_SCAFF,EQ_MOVSCAFF,EQ_SYST_SCAFF,EQ_AWP,EQ_SCISSORLIFT,EQ_LADDER_MOV","고소작업,비계_조립,비계_해체",Y,needs_review,v1 유지 · 키워드 보강(안전방망/추락방호망)
ctrl_local_ventilation_install,국소배기장치 설치·운전,local_ventilation_install,engineering_control,local_ventilation_install,국소배기장치를 설치·운전하고 성능을 확인한다,국소배기장치|국소배기|배기설비|환기장치|후드|LEV,설치|운전|가동,"equipment_rule,requirement",소음진동,"EQ_WELDER_ARC,EQ_WELDER_GAS,EQ_SPRAY_GUN,EQ_GRINDER","용접,도장",Y,needs_review,v1 유지 · LEV/후드 키워드 보강
ctrl_guard_installation,방호장치 설치,guard_installation,engineering_control,guard_installation,회전·절단부에 방호장치를 설치하고 탈착 여부를 점검한다,방호장치|가드|안전덮개|인터록|과부하방지장치|회전부 덮개|안전커버,설치|부착,"equipment_rule,requirement","끼임,협착,절단","EQ_GRINDER,EQ_CIRCULAR_SAW,EQ_DRILL,EQ_REBAR_CUTTER,EQ_CONCRETE_MIXER",기계정비,Y,needs_review,v1 유지 · 너무 넓어 과잉 hit 우려 · reviewer 정밀화 필요
ctrl_lockout_tagout,기동장치 잠금·표지(LOTO),lockout_tagout,engineering_control,lockout_tagout,정비·청소 시 기동장치를 잠그고 LOTO 표지를 부착한다,기동장치|잠금|LOTO|전원차단|시건장치|tag-out,잠그고|차단|부착,"equipment_rule,requirement","감전,끼임","EQ_DIST_PANEL,EQ_GENERATOR,EQ_AIRCOMP,EQ_CONCRETE_MIXER",기계정비,Y,needs_review,v1 유지
ctrl_electrical_isolation,충전전로 정전·접지,electrical_isolation,engineering_control,electrical_isolation,정전 후 검전기로 확인하고 접지한 뒤 작업한다,충전전로|정전|접지|검전기|활선|방전,정전|접지|차단,"equipment_rule,requirement",감전,"EQ_DIST_PANEL,EQ_GENERATOR,EQ_WELDER_ARC",,Y,needs_review,v1 유지
ctrl_confined_space_ventilation,밀폐공간 환기·산소 공급,confined_space_ventilation,engineering_control,confined_space_ventilation,밀폐공간 작업 전·중 환기를 실시하고 산소농도를 유지한다,밀폐공간|산소농도|환기|송기마스크,환기|공급,"equipment_rule,requirement",질식,EQ_MANHOLE_BLOWER,밀폐공간,Y,needs_review,v1 유지
ctrl_drop_prevention,자재 낙하 방지,drop_prevention,engineering_control,drop_prevention,자재 낙하 방지망·방호선반·결속구를 설치한다,낙하방지|낙하물 방지망|방호선반|결속|비래물,설치|결속,equipment_rule,비래낙하,"EQ_CRANE_TOWER,EQ_CRANE_MOB,EQ_HOIST,EQ_SCAFF",양중,Y,needs_review,v1 유지
ctrl_harness_attachment,안전대 부착설비 설치,harness_attachment,engineering_control,harness_attachment,고소작업 시 안전대를 걸 수 있는 부착설비(생명선)를 설치한다,안전대 부착설비|생명선|lifeline|수직구명줄|수평구명줄,설치,"equipment_rule,requirement",추락,"EQ_SCAFF,EQ_AWP,EQ_SCISSORLIFT,EQ_LADDER_MOV",고소작업,Y,needs_review,v1 유지
ctrl_dust_suppression,비산먼지 억제(살수),dust_suppression,engineering_control,dust_suppression,분진 비산을 방지하기 위해 살수·방진망·이동식 집진기 등을 설치·운영한다,살수|비산먼지|분진 비산|방진망|이동식 집진기,살수|설치|운영,"equipment_rule,requirement",분진,"EQ_JACKHAMMER,EQ_GRINDER,EQ_CONCRETE_MIXER,EQ_EXCAV","도장,굴착,건설",Y,draft,신규 (zero-hit engineering 보강)
ctrl_chemical_storage_segregation,유해물질 저장·분리 보관,chemical_storage_segregation,engineering_control,chemical_storage_segregation,인화성·산화성 등 물질 특성별로 분리 저장하고 누출방지 시설을 갖춘다,분리 저장|분리 보관|저장탱크|누출방지|방유제|인화성|산화성,저장|보관|분리,"equipment_rule,requirement","화재폭발,노출",EQ_GAS_CYLINDER,"도장,화학",Y,draft,신규 (MSDS 후속 대책 공백 보강)
